iter	Passed	Remaining
487	28589	6561
488	28639	6501
489	28706	6444
490	28767	6386
491	28832	6328
492	28885	6269
493	28942	6210
494	28993	6150
495	29051	6091
496	29103	6031
497	29155	5971
498	29227	5915
499	29297	5859
500	29359	5801
501	29423	5744
502	29483	5685
503	29545	5627
504	29605	5569
505	29685	5514
506	29747	5456
507	29809	5398
508	29876	5341
509	29938	5283
510	30000	5225
511	30063	5167
512	30116	5107
513	30188	5050
514	30246	4992
515	30318	4935
516	30388	4878
517	30446	4819
518	30497	4759
519	30556	4701
520	30613	4642
521	30664	4582
522	30705	4520
523	30760	4461
524	30811	4401
525	30863	4341
526	30919	4283
527	30973	4223
528	31022	4163
529	31088	4106
530	31140	4046
531	31198	3987
532	31264	3930
533	31319	3870
534	31374	3811
535	31435	3753
536	31488	3694
537	31537	3634
538	31595	3575
539	31662	3518
540	31726	3460
541	31779	3400
542	31829	3341
543	31883	3282
544	31960	3225
545	32028	3167
546	32077	3108
547	32168	3052
548	32226	2993
549	32277	2934
550	32336	2875
551	32419	2819
552	32490	2761
553	32557	2703
554	32624	2645
555	32680	2586
556	32756	2528
557	32829	2471
558	32888	2412
559	32944	2353
560	33003	2294
561	33059	2235
562	33115	2176
563	33179	2117
564	33237	2058
565	33291	1999
566	33354	1941
567	33413	1882
568	33488	1824
569	33555	1766
570	33629	1708
571	33686	1649
572	33744	1590
573	33799	1530
574	33849	1471
575	33897	1412
576	33954	1353
577	34015	1294
578	34088	1236
579	34146	1177
580	34211	1118
581	34279	1060
582	34333	1001
583	34379	941
584	34433	882
585	34498	824
586	34545	765
587	34600	706
588	34650	647
589	34699	588
590	34748	529
591	34801	470
592	34863	411
593	34913	352
594	34974	293
595	35025	235
596	35093	176
597	35153	117
598	35208	58
599	35275	0
